id,tweet_id,"tweet_text","tweet_source","tweet_created_time",tweet_retweet_count,tweet_favorite_count,"tweet_pre_process_result",tweet_polarity
6762133,489934855115771904,"RT @Jordan_Jud: A passenger posted before boarding Malaysian Airlines #MH17. It says \"If it disappears, this is what it looks like.\" http:/…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:49:06 +0000 2014",0,0,"A passenger posted boarding Malaysian Airlines MH17 It say If disappears is it look like http: …",NULL
6762341,489934905413873665,"RT @MAS: Our focus now is to work with the emergency responders and mobilize its full support to provide all possible care to the #MH17 nex…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:49:18 +0000 2014",0,0,"Our focus is work the emergency responder mobilize full support provide possible care the MH17 nex…",NULL
6762768,489934993506840576,"Al-Fatihah , 
Pray for MH17 😔 @ #PRAY FOR MH17 http://t.co/zd4tHdKTOy","<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","Fri Jul 18 00:49:39 +0000 2014",0,0,"Al-Fatihah Pray MH17 PRAY FOR MH17",NULL
6762913,489935031268564994,"RT @karampatricia: @KaramSandro @World_Mic
Stunning picture of the world's airplanes avoiding Ukraine right now #MH17 http://t.co/560Huy67l…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:49:48 +0000 2014",0,0,"@World_Mic Stunning picture the world's airplane avoiding Ukraine right MH17 …",NULL
6763100,489935073215393792,"@JulieBishopMP says the Australian death toll from flight #MH17 crash could go higher - @4kqbrisbane news at 11am.","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:49:58 +0000 2014",0,0,"say Australian death toll flight MH17 crash could go higher news 11am",NULL
6763108,489935077388718080,"You hear about these things in movies not in real life, 
RIP to all those on board #MH17","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:49:59 +0000 2014",0,0,"You hear these thing movie in real life RIP all on board MH17",NULL
6763185,489935094166339584,"RT @cnnbrk: Airline officials revise the number of people on #MH17 to 298, including three infants. http://t.co/IJ25aKed6z","<a href=\"https://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android Tablets</a>","Fri Jul 18 00:50:03 +0000 2014",0,0,"Airline official revise number people MH17 298 including three infant",NULL
6763270,489935110959943680,"RT @MichelSidibe: My thoughts &amp; prayers to families of those tragically lost on flight #MH17. Many passengers were enroute to #AIDS2014 her…","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Fri Jul 18 00:50:07 +0000 2014",0,0,"My thought prayer family those tragically lost flight MH17 Many passenger enroute AIDS2014 her…",NULL
6763278,489935110934757376,"RT @CNN: Malaysian PM @NajibRazak calls for immediate investigation into #MH17. Here's the latest:  http://t.co/dM0MdZT9H0 http://t.co/aAu2…","<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","Fri Jul 18 00:50:07 +0000 2014",0,0,"Malaysian PM call immediate investigation MH17 Here's latest: …",NULL
6763460,489935157072113664,"RT @ABC: Victims of Flight MH17 are honored at the Embassy of the Netherlands in Kiev, Ukraine: http://t.co/ffPdwwKE4x http://t.co/9QgEGQVr…","<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","Fri Jul 18 00:50:18 +0000 2014",0,0,"Victims Flight MH17 honored the Embassy the Netherlands Kiev Ukraine: …",NULL
